seq,cycle_duration_us,period_interval_us,read_duration_us,controller_duration_us,write_duration_us,deadline_missed,ok
109,9745.93,33335.57,9.78,14.14,9720.28,0,1
110,24378.12,33329.55,2.18,3.73,24371.84,0,1
111,23105.94,33332.75,1.78,8.45,23095.37,0,1
112,21663.88,33339.01,17.74,90.99,21551.47,0,1
113,20327.53,33329.82,3.68,8.64,20314.51,0,1
114,18985.26,33333.08,3.13,6.65,18975.03,0,1
115,17656.75,33335.96,9.89,13.15,17630.99,0,1
116,16307.15,33331.23,3.97,7.99,16294.61,0,1
117,14967.99,33332.82,3.02,6.96,14957.53,0,1
118,13631.64,33335.74,7.68,11.06,13611.29,0,1
119,12294.59,33331.26,4.30,8.16,12281.46,0,1
120,10949.14,33333.10,3.07,7.66,10937.95,0,1
121,9621.90,33335.04,12.18,16.07,9591.91,0,1
122,24239.93,33332.45,3.55,9.91,24225.81,0,1
123,22922.93,33330.67,2.35,7.18,22912.90,0,1
124,21589.43,33335.65,4.40,10.73,21573.41,0,1
125,20247.07,33333.94,5.47,10.83,20230.08,0,1
126,18919.89,33333.92,3.88,8.71,18906.38,0,1
127,17571.18,33331.45,5.96,12.13,17552.25,0,1
128,16230.29,33333.69,5.15,8.84,16215.18,0,1
129,14887.15,33335.25,8.31,11.78,14865.13,0,1
130,13560.83,33333.71,7.19,12.85,13539.43,0,1
131,12218.08,33331.95,5.90,11.06,12200.09,0,1
132,10875.78,33331.36,3.27,6.87,10864.77,0,1
133,9541.38,33336.40,12.14,20.21,9505.38,0,1
134,24155.33,33331.57,4.03,8.55,24142.21,0,1
135,25913.94,33330.35,2.47,6.01,25905.00,0,1
136,21516.69,33339.61,17.70,23.22,21472.14,0,1
137,20173.99,33331.42,13.83,21.21,20136.52,0,1
138,18838.44,33330.62,5.30,9.38,18823.15,0,1
139,17506.23,33335.01,8.89,11.05,17483.55,0,1
140,16150.35,33332.57,4.08,9.85,16135.66,0,1
141,14818.94,33332.52,2.66,7.04,14808.84,0,1
142,13482.56,33335.91,8.29,13.58,13458.14,0,1
143,12132.49,33330.97,4.05,6.44,12121.06,0,1
144,11152.13,33334.56,3.94,6.06,11141.60,0,1
145,9495.12,33332.85,7.90,12.58,9472.71,0,1
146,24083.65,33335.80,7.73,10.31,24063.95,0,1
147,22771.13,33330.43,3.15,5.27,22761.96,0,1
148,21418.01,33333.83,5.54,8.19,21403.21,0,1
149,20090.05,33331.86,3.56,5.88,20080.06,0,1
150,18760.55,33334.03,5.39,8.19,18745.76,0,1
151,17415.78,33334.22,6.16,7.35,17400.93,0,1
152,16069.74,33332.93,3.64,7.95,16057.38,0,1
153,14740.41,33332.27,3.10,8.41,14728.42,0,1
154,13393.58,33333.55,3.89,9.60,13378.94,0,1
155,12052.35,33333.43,3.69,7.44,12040.49,0,1
156,10704.31,33333.41,2.83,5.73,10695.28,0,1
