seq,phase,cycle_duration_us,left_cmd_rad_s,right_cmd_rad_s,left_target_rpm,right_target_rpm,left_wheel_pos_rad,right_wheel_pos_rad,left_wheel_vel_rad_s,right_wheel_vel_rad_s,ok
1,warmup,16068.96,0.0000,0.0000,0,0,0.00000,-0.00000,0.0000,-0.0000,1
2,warmup,14443.35,0.0000,0.0000,0,0,0.00000,-0.00000,0.0000,-0.0000,1
3,warmup,13485.71,0.0000,0.0000,0,0,0.00000,-0.00000,0.0000,-0.0000,1
4,warmup,11761.84,0.0000,0.0000,0,0,0.00000,-0.00000,0.0000,-0.0000,1
5,warmup,10445.05,0.0000,0.0000,0,0,0.00000,-0.00000,0.0000,-0.0000,1
6,warmup,9099.93,0.0000,0.0000,0,0,0.00000,-0.00000,0.0000,-0.0000,1
7,warmup,23746.39,0.0000,0.0000,0,0,0.00000,-0.00000,0.0000,-0.0000,1
8,warmup,22393.54,0.0000,0.0000,0,0,0.00000,-0.00000,0.0000,-0.0000,1
9,warmup,21062.72,0.0000,0.0000,0,0,0.00000,-0.00000,0.0000,-0.0000,1
10,warmup,19739.79,0.0000,0.0000,0,0,0.00000,-0.00000,0.0000,-0.0000,1
11,active,18395.69,0.0000,0.5000,0,-95,0.00000,-0.00000,0.0000,-0.0000,1
12,active,17103.38,0.0000,0.5000,0,-95,0.00000,-0.00000,0.0000,-0.0000,1
13,active,15766.90,0.0000,0.5000,0,-95,0.00000,0.00173,0.0000,0.0628,1
14,active,14184.88,0.0000,0.5000,0,-95,0.00000,0.01175,0.0000,0.3718,1
15,active,13025.74,0.0000,0.5000,0,-95,0.00000,0.02582,0.0000,0.4503,1
16,active,11707.12,0.0000,0.5000,0,-95,0.00000,0.04188,0.0000,0.4712,1
17,active,10361.14,0.0000,0.5000,0,-95,0.00000,0.05872,0.0000,0.4922,1
18,active,9016.24,0.0000,0.5000,0,-95,0.00000,0.07449,0.0000,0.4922,1
19,active,23663.53,0.0000,0.5000,0,-95,0.00000,0.09158,0.0000,0.4974,1
20,active,22338.75,0.0000,0.5000,0,-95,0.00000,0.10835,0.0000,0.4869,1
21,active,20987.12,0.0000,0.5000,0,-95,0.00000,0.12428,0.0000,0.4922,1
22,active,19669.80,0.0000,0.5000,0,-95,0.00000,0.14125,0.0000,0.4922,1
23,active,18336.24,0.0000,0.5000,0,-95,0.00000,0.15824,0.0000,0.4869,1
24,active,16981.95,0.0000,0.5000,0,-95,0.00000,0.17414,0.0000,0.4974,1
25,active,15654.04,0.0000,0.5000,0,-95,0.00000,0.19117,0.0000,0.4922,1
26,active,14292.78,0.0000,0.5000,0,-95,0.00000,0.20826,0.0000,0.5079,1
27,active,12953.03,0.0000,0.5000,0,-95,0.00000,0.22396,0.0000,0.4869,1
28,active,11623.86,0.0000,0.5000,0,-95,0.00000,0.24099,0.0000,0.5027,1
29,active,10273.95,0.0000,0.5000,0,-95,0.00000,0.25780,0.0000,0.4922,1
30,active,8944.67,0.0000,0.5000,0,-95,0.00000,0.27395,0.0000,0.5027,1
31,active,23593.56,0.0000,0.5000,0,-95,0.00000,0.29063,0.0000,0.4922,1
32,active,22238.75,0.0000,0.5000,0,-95,0.00000,0.30766,0.0000,0.5027,1
33,active,20896.14,0.0000,0.5000,0,-95,0.00000,0.32340,0.0000,0.4922,1
34,active,19569.03,0.0000,0.5000,0,-95,0.00000,0.34042,0.0000,0.4974,1
