seq,phase,cycle_duration_us,left_cmd_rad_s,right_cmd_rad_s,left_target_rpm,right_target_rpm,left_wheel_pos_rad,right_wheel_pos_rad,left_wheel_vel_rad_s,right_wheel_vel_rad_s,ok
35,active,18232.50,0.0000,0.5000,0,-95,0.00000,0.35701,0.0000,0.4869,1
36,active,16884.08,0.0000,0.5000,0,-95,0.00000,0.37316,0.0000,0.4922,1
37,active,15547.40,0.0000,0.5000,0,-95,0.00000,0.39000,0.0000,0.4922,1
38,active,14216.74,0.0000,0.5000,0,-95,0.00000,0.40702,0.0000,0.4922,1
39,active,12865.21,0.0000,0.5000,0,-95,0.00000,0.42276,0.0000,0.4922,1
40,active,11523.79,0.0000,0.5000,0,-95,0.00000,0.43979,0.0000,0.4922,1
41,active,10191.51,0.0000,0.5000,0,-95,0.00000,0.45672,0.0000,0.5079,1
42,active,8843.57,0.0000,0.5000,0,-95,0.00000,0.47272,0.0000,0.4922,1
43,active,23483.42,0.0000,0.5000,0,-95,0.00000,0.48959,0.0000,0.4974,1
44,active,22148.47,0.0000,0.5000,0,-95,0.00000,0.50655,0.0000,0.4922,1
45,active,20813.36,0.0000,0.5000,0,-95,0.00000,0.52264,0.0000,0.5079,1
46,active,19486.19,0.0000,0.5000,0,-95,0.00000,0.53938,0.0000,0.4869,1
47,active,18152.33,0.0000,0.5000,0,-95,0.00000,0.55644,0.0000,0.5079,1
48,active,16806.86,0.0000,0.5000,0,-95,0.00000,0.57215,0.0000,0.4922,1
49,active,15469.27,0.0000,0.5000,0,-95,0.00000,0.58917,0.0000,0.5027,1
50,active,14135.45,0.0000,0.5000,0,-95,0.00000,0.60586,0.0000,0.4869,1
51,active,12788.42,0.0000,0.5000,0,-95,0.00000,0.62200,0.0000,0.5027,1
52,active,11442.00,0.0000,0.5000,0,-95,0.00000,0.63887,0.0000,0.4922,1
53,active,10101.43,0.0000,0.5000,0,-95,0.00000,0.65578,0.0000,0.4922,1
54,active,8769.43,0.0000,0.5000,0,-95,0.00000,0.67158,0.0000,0.4869,1
55,active,23404.83,0.0000,0.5000,0,-95,0.00000,0.68848,0.0000,0.4922,1
56,active,22070.50,0.0000,0.5000,0,-95,0.00000,0.70541,0.0000,0.5027,1
57,active,20731.24,0.0000,0.5000,0,-95,0.00000,0.72131,0.0000,0.4869,1
58,active,19408.21,0.0000,0.5000,0,-95,0.00000,0.73815,0.0000,0.4922,1
59,active,18064.62,0.0000,0.5000,0,-95,0.00000,0.75524,0.0000,0.4922,1
60,active,16719.54,0.0000,0.5000,0,-95,0.00000,0.77117,0.0000,0.5027,1
61,active,15379.25,0.0000,0.5000,0,-95,0.00000,0.78813,0.0000,0.4922,1
62,active,14102.68,0.0000,0.5000,0,-95,0.00000,0.80497,0.0000,0.5027,1
63,active,12695.96,0.0000,0.5000,0,-95,0.00000,0.82099,0.0000,0.4974,1
64,active,11358.97,0.0000,0.5000,0,-95,0.00000,0.83802,0.0000,0.5027,1
65,active,10034.19,0.0000,0.5000,0,-95,0.00000,0.85480,0.0000,0.4869,1
66,active,8688.69,0.0000,0.5000,0,-95,0.00000,0.87072,0.0000,0.5027,1
67,active,23320.65,0.0000,0.5000,0,-95,0.00000,0.88753,0.0000,0.4922,1
68,active,21980.28,0.0000,0.5000,0,-95,0.00000,0.90462,0.0000,0.4922,1
69,active,20659.34,0.0000,0.5000,0,-95,0.00000,0.92027,0.0000,0.4869,1
70,active,19316.11,0.0000,0.5000,0,-95,0.00000,0.93739,0.0000,0.5027,1
71,cooldown,17984.70,0.0000,0.0000,0,0,0.00000,0.95413,0.0000,0.4922,1
72,cooldown,16642.39,0.0000,0.0000,0,0,0.00000,0.97016,0.0000,0.4922,1
73,cooldown,15297.28,0.0000,0.0000,0,0,0.00000,0.98470,0.0000,0.4084,1
74,cooldown,13962.49,0.0000,0.0000,0,0,0.00000,0.99076,0.0000,0.1204,1
75,cooldown,12623.22,0.0000,0.0000,0,0,0.00000,0.99058,0.0000,-0.0000,1
76,cooldown,11278.89,0.0000,0.0000,0,0,0.00000,0.99058,0.0000,-0.0000,1
77,cooldown,9943.76,0.0000,0.0000,0,0,0.00000,0.99058,0.0000,-0.0000,1
78,cooldown,8611.94,0.0000,0.0000,0,0,0.00000,0.99058,0.0000,-0.0000,1
79,cooldown,23242.41,0.0000,0.0000,0,0,0.00000,0.99058,0.0000,-0.0000,1
80,cooldown,21903.26,0.0000,0.0000,0,0,0.00000,0.99058,0.0000,-0.0000,1
